Date,BTC,SPX
2025-05-08,103241.4609375,5663.93994140625
2025-05-09,102970.8515625,5659.91015625
2025-05-12,102812.953125,5844.18994140625
2025-05-13,104169.8125,5886.5498046875
2025-05-14,103539.4140625,5892.580078125
2025-05-15,103744.640625,5916.93017578125
2025-05-16,103489.2890625,5958.3798828125
2025-05-19,105606.1796875,5963.60009765625
2025-05-20,106791.0859375,5940.4599609375
2025-05-21,109678.078125,5844.60986328125
2025-05-22,111673.28125,5842.009765625
2025-05-23,107287.796875,5802.81982421875
2025-05-27,108994.640625,5921.5400390625
2025-05-28,107802.328125,5888.5498046875
2025-05-29,105641.7578125,5912.169921875
2025-05-30,103998.5703125,5911.68994140625
2025-06-02,105881.53125,5935.93994140625
2025-06-03,105432.46875,5970.3701171875
2025-06-04,104731.984375,5970.81005859375
2025-06-05,101575.953125,5939.2998046875
2025-06-06,104390.34375,6000.35986328125
2025-06-09,110294.1015625,6005.8798828125
2025-06-10,110257.234375,6038.81005859375
2025-06-11,108686.625,6022.240234375
2025-06-12,105929.0546875,6045.259765625
2025-06-13,106090.96875,5976.97021484375
2025-06-16,106796.7578125,6033.10986328125
2025-06-17,104601.1171875,5982.72021484375
2025-06-18,104883.328125,5980.8701171875
2025-06-20,103309.6015625,5967.83984375
2025-06-23,105577.7734375,6025.169921875
2025-06-24,106045.6328125,6092.18017578125
2025-06-25,107361.2578125,6092.16015625
2025-06-26,106960.0,6141.02001953125
2025-06-27,107088.4296875,6173.06982421875
2025-06-30,107135.3359375,6204.9501953125
2025-07-01,105698.28125,6198.009765625
2025-07-02,108859.3203125,6227.419921875
2025-07-03,109647.9765625,6279.35009765625
2025-07-07,108299.8515625,6229.97998046875
2025-07-08,108950.2734375,6225.52001953125
2025-07-09,111326.5546875,6263.259765625
2025-07-10,115987.203125,6280.4599609375
2025-07-11,117516.9921875,6259.75
2025-07-14,119849.703125,6268.56005859375
2025-07-15,117777.1875,6243.759765625
2025-07-16,118738.5078125,6263.7001953125
2025-07-17,119289.84375,6297.35986328125
2025-07-18,118003.2265625,6296.7900390625
2025-07-21,117439.5390625,6305.60009765625
2025-07-22,119995.4140625,6309.6201171875
2025-07-23,118754.9609375,6358.91015625
